t;x;y;v_{x};v_{y};a_{x};a_{y}
0.266666667;23.02302751;30.99190809;5.923860225;9.446155494;46.65897629;38.4250393
0.3;23.07105881;31.48823151;-1.040678148;15.12985922;-17.1540354;44.60049204
0.333333333;22.95364897;32.00056537;3.6823996;12.16792911;65.87149594;15.09555115
0.366666667;23.31655212;32.29942679;6.404173217;14.40938974;170.1680312;-16.46787399
0.4;23.38059385;32.96119135;11.36740746;13.92907675;373.2718103;307.4003144
0.433333333;24.07437928;33.2280319;32.9014399;29.37914463;341.0222238;417.8723024
0.466666667;25.57402318;34.91980099;37.30430899;48.99192511;90.57330692;270.3475979
0.5;26.56133321;36.49416024;34.34237887;44.26884736;28.13261806;-153.0139958
0.533333333;27.8635151;37.87105748;41.30691725;38.58514363;640.8747626;-255.2520468
0.566666667;29.3151277;39.06650315;72.84747034;28.01825782;775.3624001;-418.5584638
0.6;32.72001312;39.73894134;101.1859368;10.24667715;444.6325976;-730.0757467
0.633333333;36.06085682;39.74961496;98.30405887;-19.53272831;31.56342514;-561.2800383
0.666666667;39.27361705;38.43675945;102.0665106;-32.42112691;62.44068886;-242.2149799
0.7;42.86529086;37.5882065;104.7882843;-30.17966628;25.38797239;40.48352355
0.733333333;46.25950267;36.4247817;102.0665106;-32.42112691;-52.83442904;-102.238051
0.766666667;49.6697249;35.42679804;101.8263541;-34.90274403;-30.19110231;131.7429919
0.8;53.04792628;34.0979321;100.0652065;-27.21773617;-257.9966924;218.1993303
0.833333333;56.34073867;33.6122823;86.13612976;-15.85032871;-419.9307866;319.7512199
0.866666667;58.79033493;33.04124352;69.2451229;-9.205998999;-372.5856489;143.407736
0.9;60.9570802;32.99854903;62.28058453;-3.522295269;-282.6985034;-37.05271647
0.933333333;62.9423739;32.80642383;51.39349006;-12.48813777;-499.5255109;-59.00988178
0.966666667;64.38331287;32.16600651;29.05893597;-10.32672931;-733.5065538;-36.36655505
1;64.87963629;32.11797521;1.520991139;-10.16662498;-710.1770656;-17.1540354
